chain_id,wallet_address,introduced_date,notes
solana-mainnet,TripHzhDhHVTufX74Fjx5ua3j6rCqLfGJCVF4Tj5zXH,2024-01-01,
solana-mainnet,HEGtLTZ91AfsXnFMz3f5P7ZC4dFjitbDBdAzL4NTxJgY,2024-01-01,
solana-mainnet,HrLd392cLgTe51PuY2wYJKXSrW1zVpz2HMNBfmdcRWwS,2024-01-01,
solana-mainnet,CwwVsaMqm7RNfQ7TVyMRyeBmZHY8y8ikGzHMKd7Qm2Qr,2024-01-01,
solana-mainnet,22GBwo7K9K7PkNK9taAJmfNkqvXByAzyiZp4vSUA2nb6,2024-01-01,
solana-mainnet,4rnSyhKmYu3LNZBqECUsyDHLLSMmZPzCrYSgCCGQmsSz,2024-01-01,
solana-mainnet,DjwgDAj7tKfQ1zGfGTfVPh9gfm1jCS5PFVjEZYyUQjS5,2024-01-01,
solana-mainnet,D8eNiuZBTrMXWk5g7MWJysH6LLU7LMQLsWTMtrPHhRkc,2024-01-01,
solana-mainnet,7LfCgdwoEvPpkwtS5d3Qmkq1ETd8uLNxrt9EDHzJv18m,2024-01-01,
solana-mainnet,9wf522ozch5GmD9yy58dUf4a4RQtBDE9rbq3ySfcH5B2,2024-01-01,
solana-mainnet,3SV2mn52AvVeDc8FM23NNMP8wFCC3E4bEZ4dt8RD6V9e,2024-01-01,
solana-mainnet,Dp24Ej9r6F3kq9jVN9bBKy617RvyKBXLazmiFG3mQvDh,2024-01-01,
solana-mainnet,8hsZbruegWAWKqg22wzdk6jswzTP1sVvK8iqgofXkDhA,2024-01-01,
solana-mainnet,9QDxewJruJk5pacDQkP9LbfTPpm1NfxhZDTpYXRiKqq9,2024-01-01,
solana-mainnet,AqJmGbKH2aCprLTgjEgRzFBeTNiKow3Ass7AnyFSXk9C,2024-01-01,
solana-mainnet,5eBKBdUCEbAFCqLAgfHq8aR4q17ZXSxUBiWa5xmh2aSV,2024-01-01,
solana-mainnet,4jAsNzYAPd54oiWZApp2dsam9vYXFSUcSucgXHM2vBuN,2024-01-01,
solana-mainnet,FL3tjrjC3ioMkXoptYyhndeRkpZkrUK2GJhZpm59Jokn,2024-01-01,
solana-mainnet,4hNLuJUtN5RkPqxAVjtSjtFaYVLBmoGUGYyPxfoqRA1w,2024-01-01,
solana-mainnet,JAQTo4cxxnzrYSQL5NRxCHUn31RzB3poD2ukfi5GfKmC,2024-01-01,
solana-mainnet,9yk7koPvwywY5Voh3nEoTYKvFhnNF53ghijPw28NwUUX,2024-01-01,
solana-mainnet,7WV8x6iSVkWikYMYMKbNKcxQG4UCRsa1c7uN9rpSEnxj,2024-01-01,
solana-mainnet,6Lc2MobywXCqiSDwCwupEvJCyJGGS1Bd5ftjeiBdNQub,2024-01-01,
solana-mainnet,AGdXx4CXaKdYhc998mAmu7DiqRVfjRnGu7JfuHtJsSVG,2024-01-01,
solana-mainnet,Fb9XPU9a1aVbVfQqy45PPf2g27qWKwgRqC7mVsv15nUy,2024-01-01,
solana-mainnet,8fFy2EEDiDP1DDGsNcz25TeDYje5XoUCAZYBG5TMwY7b,2024-01-01,
solana-mainnet,ArAec5AfTmsTvx2f7xtgbiME3wq89ZeMS6orJa5HzVNZ,2024-01-01,
solana-mainnet,BQ8ySJW43vtoXKjDUi6XH88nMKQstbuJAadN2fQwTYN8,2024-01-01,
solana-mainnet,BpB63JbVTRffbHKs6uEC8YNfbjBvQPsw8SQbPDr2fV22,2024-01-01,
solana-mainnet,DX1an5JyDn2wLqVNpy9Jn9W89B7h4SQLLLw8jbVmxjjp,2024-01-01,
